Epoch	        Learning Rate.	Train Loss.	Accu. w1	Accu. w2	Accu. T1	Accu. T2	Accu. U	
0.0000000000	0.0050000000	0.6789447182	0.2525699399	0.2219485842	0.2575003582	0.4321366250	0.0003654152	
1.0000000000	0.0050000000	0.0332159909	0.0065960293	0.0113851419	0.0106467811	0.0197737600	0.0000098488	
2.0000000000	0.0050000000	0.0220450709	0.0041425743	0.0069738595	0.0082772516	0.0116482343	0.0000065728	
3.0000000000	0.0050000000	0.0177563539	0.0031226817	0.0055979431	0.0067439238	0.0094914804	0.0000050934	
4.0000000000	0.0050000000	0.0148788686	0.0025806074	0.0044119215	0.0059666141	0.0079491509	0.0000041850	
5.0000000000	0.0050000000	0.0131288049	0.0022660047	0.0037869819	0.0054546069	0.0077641181	0.0000038049	
6.0000000000	0.0050000000	0.0118303391	0.0020725590	0.0033558602	0.0050653951	0.0067637288	0.0000034214	
7.0000000000	0.0050000000	0.0105975229	0.0018158899	0.0028227909	0.0045937465	0.0052763186	0.0000031024	
8.0000000000	0.0050000000	0.0097401552	0.0016756610	0.0025093505	0.0043440947	0.0049341845	0.0000028850	
9.0000000000	0.0050000000	0.0092029595	0.0015821574	0.0024328708	0.0040710981	0.0051405738	0.0000026530	
10.0000000000	0.0050000000	0.0084956178	0.0014719496	0.0021136616	0.0038051879	0.0043686231	0.0000025142	
11.0000000000	0.0050000000	0.0079946955	0.0014255230	0.0019375330	0.0036923411	0.0039813628	0.0000022809	
12.0000000000	0.0050000000	0.0076417054	0.0013085141	0.0018836983	0.0034177231	0.0038371804	0.0000022126	
13.0000000000	0.0050000000	0.0072599052	0.0012584167	0.0017056781	0.0032315281	0.0035905181	0.0000021100	
14.0000000000	0.0050000000	0.0069451578	0.0011961116	0.0015153206	0.0031396485	0.0034747612	0.0000020646	
15.0000000000	0.0050000000	0.0067671232	0.0011443615	0.0015251301	0.0029431261	0.0036921646	0.0000019737	
16.0000000000	0.0050000000	0.0065476626	0.0011037913	0.0014679567	0.0027956561	0.0034002910	0.0000019346	
17.0000000000	0.0050000000	0.0063083142	0.0011111793	0.0013730473	0.0027082800	0.0031336496	0.0000018474	
18.0000000000	0.0050000000	0.0061429868	0.0010732304	0.0013615078	0.0025682861	0.0030534749	0.0000018161	
19.0000000000	0.0050000000	0.0059695991	0.0009907196	0.0012491643	0.0024298099	0.0030358783	0.0000017646	
20.0000000000	0.0050000000	0.0058249241	0.0010025691	0.0012125649	0.0023724383	0.0030167750	0.0000016182	
21.0000000000	0.0050000000	0.0058073320	0.0009342548	0.0012728145	0.0022055749	0.0031983832	0.0000016453	
22.0000000000	0.0050000000	0.0056192390	0.0009195991	0.0011777331	0.0021228954	0.0028395151	0.0000015964	
23.0000000000	0.0050000000	0.0055290669	0.0008647399	0.0011910632	0.0019977613	0.0029016152	0.0000015680	
24.0000000000	0.0050000000	0.0054243635	0.0008536294	0.0011213171	0.0019678436	0.0028631634	0.0000014440	
25.0000000000	0.0050000000	0.0053054682	0.0008209698	0.0011442723	0.0018462387	0.0027050983	0.0000014990	
26.0000000000	0.0050000000	0.0052744130	0.0008209687	0.0011833698	0.0018159799	0.0028453028	0.0000014698	
27.0000000000	0.0050000000	0.0051424491	0.0007955511	0.0010629036	0.0017043671	0.0026490893	0.0000013516	
28.0000000000	0.0050000000	0.0050705120	0.0007936745	0.0010355409	0.0016235604	0.0025530841	0.0000013881	
29.0000000000	0.0050000000	0.0050047338	0.0007740502	0.0010423114	0.0015795433	0.0026184498	0.0000013320	
30.0000000000	0.0050000000	0.0049551744	0.0007705537	0.0010257802	0.0015417907	0.0026024013	0.0000013711	
31.0000000000	0.0050000000	0.0048914851	0.0007160536	0.0010334549	0.0014744413	0.0025730884	0.0000012700	
32.0000000000	0.0050000000	0.0048057389	0.0007141407	0.0009684909	0.0014390958	0.0024242701	0.0000012802	
33.0000000000	0.0050000000	0.0047663922	0.0007133442	0.0010013989	0.0013748096	0.0025092311	0.0000012478	
34.0000000000	0.0050000000	0.0046989932	0.0006926064	0.0009306518	0.0013372630	0.0023885254	0.0000012079	
35.0000000000	0.0050000000	0.0046429599	0.0006845744	0.0009392583	0.0012736968	0.0023456589	0.0000012075	
36.0000000000	0.0050000000	0.0045972727	0.0007073374	0.0009157872	0.0012736716	0.0023220561	0.0000011711	
37.0000000000	0.0050000000	0.0045632184	0.0006673481	0.0009495673	0.0012307761	0.0023796939	0.0000011913	
38.0000000000	0.0050000000	0.0045708045	0.0006356461	0.0009867876	0.0011707600	0.0024522996	0.0000011757	
39.0000000000	0.0050000000	0.0045075874	0.0006176791	0.0009463823	0.0011207933	0.0023634001	0.0000011210	
40.0000000000	0.0050000000	0.0044640372	0.0006437717	0.0009503152	0.0011332636	0.0023286222	0.0000011472	
41.0000000000	0.0050000000	0.0044303572	0.0006468895	0.0009786495	0.0011153246	0.0023191989	0.0000011568	
42.0000000000	0.0050000000	0.0043994068	0.0006191739	0.0009598195	0.0010703658	0.0023263570	0.0000011010	
43.0000000000	0.0050000000	0.0043459366	0.0006530078	0.0009169727	0.0010740720	0.0022478040	0.0000011030	
44.0000000000	0.0050000000	0.0043486055	0.0006183658	0.0009160284	0.0010651703	0.0023003769	0.0000010799	
45.0000000000	0.0050000000	0.0042744294	0.0006118045	0.0008714441	0.0010138503	0.0022093995	0.0000010689	
46.0000000000	0.0050000000	0.0042335842	0.0005862239	0.0008652463	0.0009889084	0.0022354198	0.0000010622	
47.0000000000	0.0050000000	0.0042229189	0.0005805872	0.0008944206	0.0009516825	0.0022030086	0.0000010309	
48.0000000000	0.0050000000	0.0042080666	0.0005669208	0.0008955549	0.0009445414	0.0022486737	0.0000010747	
49.0000000000	0.0050000000	0.0041361891	0.0005638906	0.0008413898	0.0009221569	0.0021459519	0.0000010334	
